name,tax_id,irs_name,street_address,city,state,zip,affiliation,website,advertises_apr,facebook,twitter,youtube,instagram,tiktok,donor_website,other_names
REAL LIFE PREGNANCY CENTER - ALBERTVILLE,63-1024595,Real Life Ministries,"104 West Alabama Ave, Suite F",Albertville,AL,35950,Care Net,http://www.reallifecpc.org/ No,,https://www.facebook.com/RealLifeCrisisPregnancyCenter/,,,,,,
SAV-A-LIFE OF TALLAPOOSA COUNTY,58-1942114,Ramah Ministries Inc,5 Lee St,Alexander City,AL,35010,Care Net,https://savalifealexcity.com/ No,,https://www.facebook.com/savalifeoftallapoosacounty/,,https://www.instagram.com/savalifeofac/,,,,
FAMILY HOPE CENTER,63-1067569,Sav A Life Of Covington County Inc,116 Crescent St,Andalusia,AL,36420,Care Net,https://www.pregnancyctr.com/ No,,https://www.facebook.com/savalifefhc/,,,,,,Family Hope Center
HOPE FAMILY SERVICES - ANNISTON,63-0857147,Sav A Life Inc,1412 Leighton Ave,Anniston,AL,36207,Heartbeat International,https://hopefamilyservices.com/ Yes,,https://www.facebook.com/hopefamilyservicescalhouncounty/,,https://www.instagram.com/hope_famhilyttspesr:v//iscuepsp/orthopefamilyservices.com/Sav-A-Life,,,,Calhoun County
WOMEN'S RESOURCE CENTER,58-2198150,Sav A Life Of Limestone County Inc,727 West Market St,Athens,AL,35612,Care Net,https://wrcathens.org/ No,,https://www.facebook.com/hattthpesn:/s/tAwLitcteern.cteorm//athensalcenter,,https://www.instagram.com/athenswrc/?hl=en,,,,
WOMEN'S RESOURCE CENTER OF ESCAMBIA,63-0950926,Sav A Life Escambia County Inc,204 South Pensacola Ave,Atmore,AL,36502,Care Net,http://www.wrcescambia.com/ Yes,,https://www.facebook.com/p/Sav-A-Life-Escambia-County-Alabama-100063589719662/,,,,,,
WOMEN'S HOPE MEDICAL CLINIC,63-0842475,Womens Hope Medical Clinic Inc,832 Stage Rd,Auburn,AL,36830,"Care Net, Heartbeat International",http://womenshope.org/ No,,https://www.facebook.com/WomensHopeMedicalClinic/,,https://www.instagram.com/whauburn/,,,,
WOMEN'S CARE MEDICAL CENTER - BAY MINETTE,58-1905858,Womens Care Medical Center Inc,1800 Hand Ave,Bay Minette,AL,36507,"Care Net, Heartbeat International",http://www.womenscaremedicalcenter.org/ Yes,,https://www.facebook.com/WomensCareMedicalCenter,,https://www.instagram.com/womenscaremedicalcenter/,,,,
ALABAMA PREGNANCY & FAMILY CENTER - CRESTWOOD,87-2563991,Alabama Pregnancy Test Center,"1449 Medical Park South, Suite 300",Birmingham,AL,35213,"Care Net, Heartbeat International",https://alabamapregnancyfamilycenter.com/ Yes,,https://www.facebook.com/AlabamaPregnancyTestCenter,,https://www.instagram.com/ptc_birmingham/,,,,
ALABAMA PREGNANCY & FAMILY CENTER - VESTAVIA,63-0963150,Sav A Life Inc,1480 McGuire Rd,Birmingham,AL,35216,"Care Net, Heartbeat International",https://alabamapregnancyfamilycenter.com/ Yes,,https://www.facebook.com/AlabamaPregnancyTestCenter,,https://www.instagram.com/ptc_birmingham/,,,,
HER CHOICE BIRMINGHAM WOMEN'S CENTER,63-1278420,Her Choice Birmingham Inc,2120 7th Ave South,Birmingham,AL,35233,Heartbeat International,http://herchoicebirmingham.org/ Yes,,https://www.facebook.com/herchoicebhm,,,,,,
POSITIVE CHOICES PREGNANCY CENTER,63-1030129,Positive Choices,"700 Huffman Rd, Suite 310 A",Birmingham,AL,35235,Heartbeat International,https://pregnancybirmingham.com/ Yes,,https://www.facebook.com/people/Positive-Choices/100064773064180/,,,,,,
SAV-A-LIFE WOMEN'S LIFE CENTER - BRUNDIDGE,63-0926089,Save-A-Life Troy,104 Gilmore Rd,Brundidge,AL,36010,,,,,,,,,,
CARE NET CHILTON,72-1598399,Care Net Pregnancy Resource Center Of Chilton County,5 Village Square,Clanton,AL,35045,"Care Net, Heartbeat International, NIFLA",https://carenetchilton.org/ Yes,,https://www.facebook.com/carenetchiltoncounty,,,,,https://friendsofcarenetchilton.org/,
ANN'S NEW LIFE CENTER - CROPWELL,26-0897066,Anns New Life Center for Women,"3440 Martin St South, Suite 1",Cropwell,AL,35054,,https://annsnewlifecenter.com/ Yes,,https://www.facebook.com/AnnsNewLifeCenter/,,,,,,
SAV-A-LIFE PREGNANCY RESOURCE CENTER,63-0992822,Sav-A-Life Tennessee Valley,801 Bradley St SW,Decatur,AL,35601,Care Net,https://www.decaturpregnancy.com/ No,,https://www.facebook.com/SavALifePregnancyCenter.DecaturAL/?,,,,,,
THE LIGHTHOUSE WOMEN'S CENTER,63-1022007,The Lighthouse Women's Center Inc.,"549 U.S. HWY 80 West, Suite 2",Demopolis,AL,36732,Care Net,https://lighthousewomenscenter.com/ No,,https://www.facebook.com/westalsavalife,,https://www.instagram.com/lighthouse.womens.center,,,,
