name,city,state,zip,url,street_address
Birmingham Center,Birmingham,AL,35203,https://www.plannedparenthood.org/health-center/alabama/birmingham/35203/birmingham-center-3253-90330,"1019 1st Avenue N, Birmingham, AL 35205, USA"
Alabama Virtual Health Center,Birmingham,AL,35203,https://www.plannedparenthood.org/health-center/alabama/birmingham/35203/alabama-virtual-health-center-vc-21933-90330,
Flagstaff Health Center,Flagstaff,AZ,86001,https://www.plannedparenthood.org/health-center/arizona/flagstaff/86001/flagstaff-health-center-2566-90030,"2500 S. Woodlands Village Blvd, Flagstaff, AZ 86001, USA"
Glendale Health Center,Glendale,AZ,85304,https://www.plannedparenthood.org/health-center/arizona/glendale/85304/glendale-health-center-3963-90030,"5771 W. Eugie, Glendale, AZ 85304, USA"
Mesa Health Center,Mesa,AZ,85204,https://www.plannedparenthood.org/health-center/arizona/mesa/85204/mesa-health-center-2810-90030,"1235 S. Gilbert Rd., Mesa, AZ 85204, USA"
Central Phoenix Health Center,Phoenix,AZ,85014,https://www.plannedparenthood.org/health-center/arizona/phoenix/85014/central-phoenix-health-center-4200-90030,"4751 N 15th Street, Phoenix, AZ 85014, USA"
Desert Sky Health Center,Phoenix,AZ,85035,https://www.plannedparenthood.org/health-center/arizona/phoenix/85035/desert-sky-health-center-2750-90030,"2020 N. 75th Avenue, Suite 11, AZ Phoenix, USA"
Tempe Regional Health Center,Tempe,AZ,85283,https://www.plannedparenthood.org/health-center/arizona/tempe/85283/tempe-regional-health-center-4256-90030,"1837 E Baseline Rd AZ 85283, USA"
Southern Arizona Regional Health Center,Tucson,AZ,85712,https://www.plannedparenthood.org/health-center/arizona/tucson/85712/southern-arizona-regional-health-center-3261-90030,
Alhambra Health Center,Alhambra,CA,91801,https://www.plannedparenthood.org/health-center/california/alhambra/91801/alhambra-health-center-3561-90090,"330 S. Garfield Ave., Alhambra, CA 91801, USA"
Anaheim Health Center,Anaheim,CA,92805,https://www.plannedparenthood.org/health-center/california/anaheim/92805/anaheim-health-center-2284-90160,"303 W. Lincoln Ave., Anaheim, CA 92805, USA"
Antioch Health Center,Antioch,CA,94509,https://www.plannedparenthood.org/health-center/california/antioch/94509/antioch-health-center-2573-90200,3670 Delta Fair Boulevard  Antioch CA 94509
Bakersfield Health Center,Bakersfield,CA,93301,https://www.plannedparenthood.org/health-center/california/bakersfield/93301/bakersfield-health-center-4028-90130,"2633 16th Street, Bakersfield, CA 93301, USA"
